listing_id,"Available Days","Unavailable Days","Available fraction of Total Days"
12147973,0,365,0.0000
3075044,359,6,0.9836
6976,319,46,0.8740
1436513,98,267,0.2685
7651065,334,31,0.9151
12386020,58,307,0.1589
5706985,344,21,0.9425
2843445,365,0,1.0000
753446,347,18,0.9507
849408,107,258,0.2932
12023024,343,22,0.9397
1668313,341,24,0.9342
2684840,0,365,0.0000
13547301,129,236,0.3534
5434353,319,46,0.8740
225979,339,26,0.9288
3420384,349,16,0.9562
13512930,0,365,0.0000
7482195,295,70,0.8082
7252607,262,103,0.7178
2583074,332,33,0.9096
13251243,207,158,0.5671
225834,299,66,0.8192
6400432,0,365,0.0000
5498472,0,365,0.0000
894539,1,364,0.0027
879929,122,243,0.3342
9218312,107,258,0.2932
321328,356,9,0.9753
1810172,310,55,0.8493
6513924,129,236,0.3534
7093109,353,12,0.9671
14690527,17,348,0.0466
7086825,325,40,0.8904
1861070,362,3,0.9918
4283698,300,65,0.8219
10116095,351,14,0.9616
8548176,351,14,0.9616
4922204,343,22,0.9397
4085362,361,4,0.9890
3755609,339,26,0.9288
13768853,0,365,0.0000
1936861,355,10,0.9726
4461111,254,111,0.6959
1724900,306,59,0.8384
13937181,133,232,0.3644
3968797,267,98,0.7315
1494726,355,10,0.9726
8473851,161,204,0.4411
3575220,260,105,0.7123
1591827,248,117,0.6795
3229255,258,107,0.7068
1721016,348,17,0.9534
12535687,333,32,0.9123
12994227,259,106,0.7096
12927298,331,34,0.9068
169938,144,221,0.3945
594693,328,37,0.8986
2384581,365,0,1.0000
735970,0,365,0.0000
4262255,301,64,0.8247
4000384,109,256,0.2986
6693305,0,365,0.0000
6730758,23,342,0.0630
6248970,43,322,0.1178
12806707,340,25,0.9315
14246616,0,365,0.0000
3703674,250,115,0.6849
4792901,0,365,0.0000
5717528,346,19,0.9479
5601743,62,303,0.1699
13333862,0,365,0.0000
519272,0,365,0.0000
14090779,15,350,0.0411
8481291,0,365,0.0000
6990904,78,287,0.2137
197727,306,59,0.8384
932853,337,28,0.9233
11159585,365,0,1.0000
9677354,363,2,0.9945
13426831,0,365,0.0000
7956634,255,110,0.6986
568234,328,37,0.8986
1030500,316,49,0.8658
13652374,0,365,0.0000
12930651,0,365,0.0000
3997572,365,0,1.0000
4223387,358,7,0.9808
12855396,341,24,0.9342
12426823,0,365,0.0000
14361322,309,56,0.8466
2963419,279,86,0.7644
5904732,333,32,0.9123
3591359,48,317,0.1315
2538536,333,32,0.9123
4975581,285,80,0.7808
4767023,257,108,0.7041
6364042,331,34,0.9068
7986179,0,365,0.0000
14109003,0,365,0.0000
1109224,331,34,0.9068
1067184,356,9,0.9753
13215952,0,365,0.0000
777903,361,4,0.9890
1301500,65,300,0.1781
8923817,276,89,0.7562
14057466,71,294,0.1945
14909417,348,17,0.9534
5521378,74,291,0.2027
13041602,2,363,0.0055
2621242,66,299,0.1808
950046,197,168,0.5397
3342094,185,180,0.5068
5652147,365,0,1.0000
14105971,23,342,0.0630
2875267,120,245,0.3288
9485607,290,75,0.7945
7273770,0,365,0.0000
5405928,340,25,0.9315
4586681,339,26,0.9288
1113272,310,55,0.8493
12647606,59,306,0.1616
10271867,0,365,0.0000
7879708,365,0,1.0000
3881993,364,1,0.9973
12566065,146,219,0.4000
6602217,299,66,0.8192
3276286,198,167,0.5425
2014651,358,7,0.9808
6053700,353,12,0.9671
4405982,292,73,0.8000
250983,240,125,0.6575
2308630,0,365,0.0000
8272350,0,365,0.0000
12368012,327,38,0.8959
4098410,363,2,0.9945
6322283,88,277,0.2411
7823025,149,216,0.4082
9549850,184,181,0.5041
7845607,0,365,0.0000
14071446,0,365,0.0000
14218904,0,365,0.0000
11826815,0,365,0.0000
13334098,0,365,0.0000
4765070,283,82,0.7753
2880944,0,365,0.0000
9532771,0,365,0.0000
10253591,335,30,0.9178
1881298,266,99,0.7288
210097,284,81,0.7781
6059968,338,27,0.9260
6862758,0,365,0.0000
799701,133,232,0.3644
6862594,0,365,0.0000
9057435,145,220,0.3973
750438,143,222,0.3918
12874603,0,365,0.0000
12727401,24,341,0.0658
2077794,146,219,0.4000
9712731,0,365,0.0000
13677640,0,365,0.0000
3371091,365,0,1.0000
13512551,35,330,0.0959
732999,292,73,0.8000
6106955,213,152,0.5836
2698996,337,28,0.9233
27611,73,292,0.2000
4025194,159,206,0.4356
8336364,0,365,0.0000
12071820,57,308,0.1562
7910223,211,154,0.5781
4567815,5,360,0.0137
12022134,163,202,0.4466
13513012,9,356,0.0247
3730447,248,117,0.6795
4149974,314,51,0.8603
14933380,81,284,0.2219
6238463,35,330,0.0959
1929406,168,197,0.4603
4583526,328,37,0.8986
7287822,129,236,0.3534
8354938,177,188,0.4849
5025015,305,60,0.8356
4452800,365,0,1.0000
7554801,21,344,0.0575
9349646,0,365,0.0000
6386351,0,365,0.0000
5124772,4,361,0.0110
3977877,0,365,0.0000
1754939,13,352,0.0356
6602167,298,67,0.8164
3987926,159,206,0.4356
5729845,346,19,0.9479
9727523,328,37,0.8986
12463555,0,365,0.0000
9137560,0,365,0.0000
3616081,334,31,0.9151
8908145,364,1,0.9973
554720,308,57,0.8438
1551467,248,117,0.6795
7743569,290,75,0.7945
732932,302,63,0.8274
749247,349,16,0.9562
667325,121,244,0.3315
9349614,0,365,0.0000
10627514,258,107,0.7068
1885825,298,67,0.8164
9906565,288,77,0.7890
