listing_id,"Max Price","Min Price","Average Price"
12147973,NULL,NULL,NULL
3075044,75,65,67.8133704735376
6976,65,65,65
1436513,75,75,75
7651065,79,79,79
12386020,75,75,75
5706985,200,100,111.75581395348837
2843445,75,75,75
753446,69,58,59.363112391930834
849408,309,229,252.92523364485982
12023024,60,40,54.31195335276968
1668313,57,57,57
2684840,NULL,NULL,NULL
13547301,150,150,150
5434353,145,145,145
225979,60,60,60
3420384,170,165,166.41833810888252
13512930,NULL,NULL,NULL
7482195,49,49,49
7252607,49,49,49
2583074,45,40,40.075301204819276
13251243,145,100,126.44927536231884
225834,70,70,70
6400432,NULL,NULL,NULL
5498472,NULL,NULL,NULL
894539,95,95,95
879929,90,90,90
9218312,125,95,99.95327102803738
321328,100,100,100
1810172,68,67,67.20967741935483
6513924,55,55,55
7093109,250,150,199.0084985835694
14690527,150,150,150
7086825,49,49,49
1861070,75,75,75
4283698,110,95,104.73333333333333
10116095,119,115,116.11680911680912
8548176,300,125,151.7037037037037
4922204,400,200,211.98833819241983
4085362,75,75,75
3755609,78,70,77.1268436578171
13768853,NULL,NULL,NULL
1936861,60,52,59.709859154929575
4461111,45,45,45
1724900,150,120,130.7516339869281
13937181,47,40,40.661654135338345
3968797,85,85,85
1494726,80,75,76.4225352112676
8473851,50,50,50
3575220,50,45,45.05769230769231
1591827,60,60,60
3229255,175,89,111.60077519379846
1721016,100,80,84.17241379310344
12535687,110,110,110
12994227,85,55,66.42857142857143
12927298,285,285,285
169938,140,140,140
594693,73,70,70.03048780487805
2384581,95,95,95
735970,NULL,NULL,NULL
4262255,90,70,80.11295681063123
4000384,90,90,90
6693305,NULL,NULL,NULL
6730758,130,100,103.91304347826087
6248970,65,65,65
12806707,60,60,60
14246616,NULL,NULL,NULL
3703674,75,75,75
4792901,NULL,NULL,NULL
5717528,110,110,110
5601743,60,46,49.83870967741935
13333862,NULL,NULL,NULL
519272,NULL,NULL,NULL
14090779,69,69,69
8481291,NULL,NULL,NULL
6990904,90,73,78.01282051282051
197727,85,80,84.00326797385621
932853,135,135,135
11159585,150,125,132.12328767123287
9677354,70,70,70
13426831,NULL,NULL,NULL
7956634,61,61,61
568234,125,100,124.4298780487805
1030500,100,100,100
13652374,NULL,NULL,NULL
12930651,NULL,NULL,NULL
3997572,85,85,85
4223387,75,75,75
12855396,57,42,52.91202346041056
12426823,NULL,NULL,NULL
14361322,40,40,40
2963419,100,100,100
5904732,85,70,70.4054054054054
3591359,130,130,130
2538536,149,149,149
4975581,200,115,176.73333333333332
4767023,220,205,209.31906614785993
6364042,75,65,65.09063444108762
7986179,NULL,NULL,NULL
14109003,NULL,NULL,NULL
1109224,550,355,420.13293051359517
1067184,95,73,94.08707865168539
13215952,NULL,NULL,NULL
777903,85,85,85
1301500,95,69,76.6
8923817,178,165,167.1195652173913
14057466,150,150,150
14909417,333,247,314.9712643678161
5521378,88,69,85.85135135135135
13041602,62,62,62
2621242,110,110,110
950046,250,250,250
3342094,395,250,346.18918918918916
5652147,300,300,300
14105971,119,103,116.34782608695652
2875267,175,175,175
9485607,395,175,207.51724137931035
7273770,NULL,NULL,NULL
5405928,200,200,200
4586681,90,90,90
1113272,210,210,210
12647606,75,75,75
10271867,NULL,NULL,NULL
7879708,97,75,78.13424657534246
3881993,700,400,508.1043956043956
12566065,60,60,60
6602217,130,130,130
3276286,200,82,187.9090909090909
2014651,100,100,100
6053700,450,450,450
4405982,429,399,407.54794520547944
250983,350,350,350
2308630,NULL,NULL,NULL
8272350,NULL,NULL,NULL
12368012,295,295,295
4098410,109,80,106.05785123966942
6322283,69,69,69
7823025,80,60,68.83892617449665
9549850,100,75,84.72826086956522
7845607,NULL,NULL,NULL
14071446,NULL,NULL,NULL
14218904,NULL,NULL,NULL
11826815,NULL,NULL,NULL
13334098,NULL,NULL,NULL
4765070,90,90,90
2880944,NULL,NULL,NULL
9532771,NULL,NULL,NULL
10253591,118,105,116.45373134328358
1881298,90,90,90
210097,100,100,100
6059968,80,80,80
6862758,NULL,NULL,NULL
799701,300,300,300
6862594,NULL,NULL,NULL
9057435,349,289,304.9310344827586
750438,65,65,65
12874603,NULL,NULL,NULL
12727401,50,50,50
2077794,119,90,109.46575342465754
9712731,NULL,NULL,NULL
13677640,NULL,NULL,NULL
3371091,195,125,137.46575342465752
13512551,199,199,199
732999,205,195,204.55479452054794
6106955,355,141,277.59154929577466
2698996,94,64,77
27611,185,185,185
4025194,110,75,87.76729559748428
8336364,NULL,NULL,NULL
12071820,71,70,70.01754385964912
7910223,200,125,182.6208530805687
4567815,120,120,120
12022134,68,59,66.57668711656441
13513012,104,94,96.22222222222223
3730447,180,180,180
4149974,145,80,104.55095541401273
14933380,49,49,49
6238463,129,129,129
1929406,345,275,283.8095238095238
4583526,300,195,219.4512195121951
7287822,150,114,130.42635658914728
8354938,333,172,202.77966101694915
5025015,175,175,175
4452800,70,70,70
7554801,48,45,45.285714285714285
9349646,NULL,NULL,NULL
6386351,NULL,NULL,NULL
5124772,224,200,208.5
3977877,NULL,NULL,NULL
1754939,200,150,173.07692307692307
6602167,168,168,168
3987926,110,60,75.22012578616352
5729845,64,59,60.41618497109827
9727523,60,60,60
12463555,NULL,NULL,NULL
9137560,NULL,NULL,NULL
3616081,157,92,123.44011976047904
8908145,173,162,167.75274725274724
554720,240,240,240
1551467,150,150,150
7743569,87,55,71.17241379310344
732932,80,80,80
749247,85,80,84.79942693409743
667325,93,58,80.98347107438016
9349614,NULL,NULL,NULL
10627514,70,70,70
1885825,115,63,79.4496644295302
9906565,225,225,225
629814,240,225,229.0909090909091
1222327,178,178,178
10299047,250,150,180.12418300653596
9463444,125,109,115.46808510638297
6465075,390,380,383.86013986013984
8932377,NULL,NULL,NULL
9577988,99,99,99
9971054,50,50,50
7348110,350,300,314.2857142857143
7790454,197,184,186.71428571428572
3021446,210,56,95.23841059602648
7708436,85,80,81.21951219512195
11514237,150,100,136.22713864306786
13363171,NULL,NULL,NULL
11946029,100,100,100
6019555,69,64,64.5
12052288,150,115,131.25
9676551,84,60,76.9140127388535
12789527,100,100,100
12855005,NULL,NULL,NULL
1631942,130,120,122.5
2884903,70,70,70
14868157,82,55,74.93575418994413
13344433,170,150,169.48717948717947
40601,95,95,95
12033661,70,70,70
6298216,NULL,NULL,NULL
12868343,NULL,NULL,NULL
14474750,155,155,155
6921672,NULL,NULL,NULL
2219399,115,115,115
336960,80,55,67.9478527607362
336946,155,95,130.25078369905955
6644330,120,120,120
6939162,130,130,130
13640138,NULL,NULL,NULL
12593295,65,65,65
10004575,600,300,326.6666666666667
12855343,50,40,47.48148148148148
9791506,129,129,129
5801643,52,46,46.51497005988024
12888054,295,275,282.56410256410254
5676025,130,95,128.19900497512438
6104388,200,180,182.85714285714286
8283433,300,240,263.0769230769231
14573919,240,200,211.91977077363896
7495866,136,136,136
13623390,125,100,100.39682539682539
3629014,96,71,89.55828220858896
10883063,110,95,97.3076923076923
713627,NULL,NULL,NULL
4105704,145,120,135.1232394366197
3957602,115,75,79.27868852459017
11739985,246,189,193.5982404692082
5874408,75,75,75
7693009,50,49,49.005830903790084
3775876,125,125,125
3693850,88,88,88
4736217,100,72,95.09041095890412
14428514,100,100,100
3021862,90,90,90
4348422,NULL,NULL,NULL
973840,82,82,82
9575439,100,84,98.52307692307693
4430821,NULL,NULL,NULL
9591772,NULL,NULL,NULL
3079305,160,150,156.72413793103448
14474114,80,80,80
7789429,240,225,229.2156862745098
1203014,65,65,65
957224,300,275,275.15625
4119345,600,300,338.5416666666667
5495547,185,185,185
12081834,199,175,175.6949152542373
14260905,175,175,175
3988018,100,70,81.60919540229885
728238,65,60,60.56
12997241,NULL,NULL,NULL
10074653,75,75,75
4054079,96,94,95.55555555555556
12849003,89,84,84.02745098039216
8067585,88,83,83.2
7723492,80,51,76.32515337423312
1956275,450,168,371.6957928802589
1136972,110,70,85.73033707865169
1071235,153,135,141.75247524752476
4233242,119,119,119
14415125,275,275,275
3905508,130,130,130
1628130,NULL,NULL,NULL
14566386,160,160,160
9590679,65,65,65
14469677,77,77,77
447826,7163,71,95.0406779661017
12736777,150,150,150
9459945,56,55,55.02295081967213
13621476,NULL,NULL,NULL
2365632,220,220,220
10163454,NULL,NULL,NULL
14308511,72,50,66.88662790697674
13751426,70,70,70
1692573,135,135,135
12932001,300,300,300
5182313,120,110,112.77777777777777
13865867,70,70,70
4331214,65,65,65
12824498,NULL,NULL,NULL
14602997,88,64,75.90082644628099
6377998,480,450,479.44954128440367
743211,625,550,569.9850299401197
5166870,185,160,169.37577639751552
3593290,325,325,325
14672735,65,65,65
1612842,290,290,290
332225,338,133,217.9375
496022,105,95,97.85714285714286
8720718,145,95,96.2987012987013
9212213,150,65,66.37096774193549
8310894,NULL,NULL,NULL
1167221,140,88,97.97476340694006
2592416,500,500,500
1701741,325,295,303.54794520547944
4526315,575,450,453.0689655172414
5918944,150,150,150
5738018,NULL,NULL,NULL
4181530,389,207,316.28169014084506
6065674,429,399,406.86861313868616
13698137,71,71,71
12209652,500,500,500
5049582,70,70,70
12209339,125,125,125
8981656,149,75,87.56037151702786
13110347,74,60,66.51515151515152
9833460,250,250,250
8801250,60,56,57.489736070381234
11553697,NULL,NULL,NULL
13110084,249,150,205.45945945945945
14682931,80,60,68.33522727272727
6425318,60,60,60
2378421,150,125,136.74657534246575
2443944,NULL,NULL,NULL
14683493,199,20,111.02250803858522
12949270,NULL,NULL,NULL
12781774,99,99,99
8226982,NULL,NULL,NULL
5212321,189,189,189
4339392,170,170,170
12191871,132,97,100.67567567567568
12190053,275,200,211.60714285714286
6764572,99,99,99
8521792,130,110,116.75862068965517
4065322,95,80,85.3030303030303
12209147,125,125,125
14501824,141,130,136.21292775665398
12274601,65,65,65
4457943,108,90,96
9865550,NULL,NULL,NULL
4838985,550,325,483.8235294117647
197972,158,145,147.90062111801242
10749312,199,199,199
1115394,251,62,105.45390070921985
5702292,81,55,79.7
4015972,65,60,60.05988023952096
2295530,119,87,100.05785123966942
5882411,88,88,88
6914622,300,300,300
13697486,NULL,NULL,NULL
14254537,225,225,225
13041752,48,48,48
4538423,150,37,47.660377358490564
1885386,115,70,86.08794788273616
115936,525,525,525
8275122,NULL,NULL,NULL
2798787,75,75,75
9110588,NULL,NULL,NULL
2950175,NULL,NULL,NULL
5293067,49,49,49
13829133,225,125,127.12765957446808
14161407,NULL,NULL,NULL
11912139,65,60,60.03448275862069
2933661,98,61,87.10684931506849
1803138,85,85,85
11397952,64,64,64
50032,725,725,725
6390634,64,64,64
6291807,NULL,NULL,NULL
1949996,120,120,120
8634599,195,179,182.76601671309191
11370704,NULL,NULL,NULL
1704090,125,120,123.875
1187188,200,200,200
903598,299,299,299
9903,299,249,256.55494505494505
14444280,115,115,115
12379725,239,237,238.61184210526315
7225376,NULL,NULL,NULL
5660081,NULL,NULL,NULL
13968660,45,45,45
1426711,190,126,163.1522491349481
5510597,62,62,62
12849985,NULL,NULL,NULL
12320063,NULL,NULL,NULL
4823089,NULL,NULL,NULL
7871576,NULL,NULL,NULL
5904992,NULL,NULL,NULL
5222368,75,75,75
66288,89,74,75.30604982206405
11313921,NULL,NULL,NULL
6629929,150,105,118.5372340425532
12074204,27,27,27
4160585,85,85,85
13391024,125,90,111.28318584070796
195515,199,199,199
13565466,NULL,NULL,NULL
130552,329,269,272.95604395604397
5832127,NULL,NULL,NULL
9710999,NULL,NULL,NULL
12517081,NULL,NULL,NULL
13531200,76,70,71.34545454545454
11861063,77,70,72.44166666666666
12089399,514,239,319.1899441340782
5453775,99,87,97.81188118811882
12497846,NULL,NULL,NULL
14137262,80,80,80
5526487,425,249,280.60681114551085
14398508,80,80,80
1373520,125,89,119.41818181818182
6387077,NULL,NULL,NULL
13037372,63,46,54.33720930232558
1471308,90,60,73.44444444444444
13521713,239,190,212.22727272727272
848152,399,299,377.9156626506024
7008455,100,100,100
11006149,NULL,NULL,NULL
12102482,514,239,319.1899441340782
6744795,514,239,318.4519230769231
3659917,75,75,75
14854671,100,55,99.70805369127517
1092093,115,115,115
10051003,65,65,65
11219568,349,349,349
1471373,90,75,79.1638795986622
13888974,36,36,36
9428208,NULL,NULL,NULL
13233250,223,199,199.721875
9710673,NULL,NULL,NULL
8973362,NULL,NULL,NULL
10153739,686,457,553.7094017094017
2754149,65,65,65
12707324,NULL,NULL,NULL
14442333,85,85,85
9824155,70,49,54.18518518518518
13624971,NULL,NULL,NULL
9626892,77,70,71.8769716088328
7562235,NULL,NULL,NULL
10478553,NULL,NULL,NULL
14854164,90,65,89.91379310344827
14196983,150,89,97.58379888268156
6611126,NULL,NULL,NULL
5267396,170,97,141.05014749262537
8184662,514,239,319.1899441340782
12264207,NULL,NULL,NULL
14685769,50,50,50
14867747,20,20,20
13081347,NULL,NULL,NULL
6118583,200,140,170
6990023,100,75,91.58032786885246
14670311,50,50,50
10328539,120,60,78.35443037974683
14668008,NULL,NULL,NULL
10131503,628,354,431.6703910614525
7280665,NULL,NULL,NULL
10153536,686,457,553.7094017094017
12359031,468,319,382.6536312849162
13000520,90,65,80.83333333333333
7050397,NULL,NULL,NULL
4687499,NULL,NULL,NULL
4625517,NULL,NULL,NULL
5412487,NULL,NULL,NULL
13062783,NULL,NULL,NULL
7868931,514,239,319.1899441340782
8442314,99,89,91.85714285714286
12357955,354,205,267.7621359223301
12750816,NULL,NULL,NULL
8015793,NULL,NULL,NULL
9998187,99,99,99
14336348,95,95,95
4493030,272,272,272
13525610,120,85,93.7012987012987
14339562,80,80,80
14110186,79,79,79
4787213,NULL,NULL,NULL
13658697,NULL,NULL,NULL
8539551,89,79,81.85714285714286
9407895,NULL,NULL,NULL
13651290,70,55,60.172413793103445
3198169,120,100,112.61363636363636
10537553,40,40,40
7113260,90,70,85.7051282051282
13060366,100,100,100
14092430,NULL,NULL,NULL
6834270,100,100,100
7379913,NULL,NULL,NULL
4523594,NULL,NULL,NULL
543188,399,349,356.55494505494505
4409653,599,399,479
12667158,NULL,NULL,NULL
8337048,60,45,52.5
8390386,110,109,109.5
13028092,142,102,135.94901960784313
12608363,NULL,NULL,NULL
5967936,NULL,NULL,NULL
6684904,499,399,470.42857142857144
6676364,84,84,84
2174711,300,139,154.20440251572327
14235257,75,62,71.2958904109589
6870366,84,84,84
7637094,NULL,NULL,NULL
4518756,165,165,165
14759485,349,249,300.29559748427675
14237196,300,141,144.5876923076923
13449737,247,247,247
14365669,500,500,500
11940785,NULL,NULL,NULL
4518710,165,165,165
13397390,500,500,500
11398458,350,350,350
1731639,500,500,500
4518380,188,188,188
12265433,400,400,400
6268082,182,180,180.42857142857142
14820482,375,375,375
8422876,169,99,151.77258566978193
13129109,180,135,162.53602305475505
2706986,200,125,137.46987951807228
11963384,686,330,396.8448275862069
9825415,135,135,135
14731382,439,249,338.2638036809816
7931882,NULL,NULL,NULL
475259,600,500,506.8965517241379
475254,500,500,500
6292261,167,99,143.1476923076923
6499228,390,245,286.3150684931507
4053612,550,390,403.8611111111111
8733896,NULL,NULL,NULL
9166002,NULL,NULL,NULL
8014683,NULL,NULL,NULL
3359170,399,399,399
12303347,434,239,333.3885714285714
3401809,299,289,289.65934065934067
12301081,434,239,333.0670391061453
2848330,400,225,278.87240356083083
13079659,839,279,376.5229357798165
2848370,250,180,185
13024385,809,269,380.68831168831167
7630346,300,109,126.75404530744336
2848362,400,200,271.00299401197606
2187766,599,389,419.4347826086956
14246956,400,215,222.01183431952663
2848393,800,375,484.5426829268293
14573486,240,240,240
3342206,479,329,414.2027027027027
8830015,500,209,340.26934984520125
14898198,98,80,91.38375350140056
10611728,434,239,333.0670391061453
11169560,160,120,131.33333333333334
14251275,450,209,234.266862170088
12302222,548,342,439.8491620111732
6452246,179,159,170.33333333333334
8861069,145,125,128.33333333333334
13417639,80,80,80
12383204,686,354,454.0057142857143
6500646,105,80,90.7
12986892,379,319,351.8378378378378
7434871,195,100,136.11111111111111
7630340,300,149,157.2628398791541
2848239,300,200,239.43965517241378
994317,399,349,356.67123287671234
12428994,686,354,446.6144578313253
9921925,571,239,338.45882352941175
13813380,300,300,300
10116726,571,239,338.1734104046243
10136854,686,457,553.7094017094017
10034614,537,331,405.7150837988827
14918194,100,100,100
9183638,NULL,NULL,NULL
12984748,469,349,368.3243243243243
12284774,411,216,286.54368932038835
10117472,686,354,454.0057142857143
11126122,345,295,302.7586206896552
12067685,135,125,126.08108108108108
10116429,571,239,338.1734104046243
13943142,NULL,NULL,NULL
10034113,537,331,405.7150837988827
11968079,571,239,339.60227272727275
4255538,349,287,304.56313993174064
10033710,422,228,309.07262569832403
10033322,422,228,309.07262569832403
11982313,686,354,454.0057142857143
14506396,NULL,NULL,NULL
10261620,422,228,309.07262569832403
12899321,242,242,242
4445906,599,409,488.873417721519
10116601,571,239,337.3121387283237
11981674,686,354,453.5586592178771
12949309,361,361,361
9261381,NULL,NULL,NULL
11772497,NULL,NULL,NULL
14420920,1027,119,459.0701754385965
12356183,434,239,333.0670391061453
2722165,350,299,337.25
14420354,892,119,390.7110481586402
12986016,369,299,337.64864864864865
10262069,537,331,405.7150837988827
14222649,93,93,93
13762650,369,299,337.64864864864865
10117329,686,354,453.5586592178771
721979,399,349,356.55494505494505
13624476,275,275,275
13445221,575,299,563.1714285714286
13059,688,375,400.8378378378378
369880,250,140,140.88709677419354
822063,35,35,35
12826145,185,159,162.41017964071855
8555187,NULL,NULL,NULL
10704442,NULL,NULL,NULL
10928093,NULL,NULL,NULL
9834727,175,150,155.8139534883721
8011545,NULL,NULL,NULL
14204600,1379,225,404.04559270516717
10106081,200,175,181.30555555555554
14461498,125,125,125
4553903,250,157,197.45833333333334
11648212,NULL,NULL,NULL
916123,250,125,165.25396825396825
10779412,NULL,NULL,NULL
5782221,295,270,284.26666666666665
13744821,400,400,400
12221012,500,400,401.86915887850466
2898226,169,150,150.3015873015873
12843196,500,200,327.38461538461536
13478348,182,179,181.5
14104621,128,126,127.33333333333333
14857923,272,250,259.03197674418607
12269155,225,200,207.14285714285714
13800505,133,115,121.16363636363636
13007124,148,115,122.65245901639344
14808548,89,82,86.33333333333333
13248823,NULL,NULL,NULL
12957423,190,119,175.43298969072166
13107648,150,120,125.9375
2831504,531,397,441.42985074626864
2842124,200,200,200
14282764,165,149,152.47826086956522
13709092,150,150,150
9858828,NULL,NULL,NULL
14035943,NULL,NULL,NULL
7582651,NULL,NULL,NULL
11924459,135,110,117.63485477178423
766700,250,125,167.35880398671097
13005579,1334,158,373.4235294117647
3434614,130,120,125
13573506,NULL,NULL,NULL
4518100,195,175,180.5487804878049
4304969,158,104,146.30272108843536
2943804,344,190,207.47761194029852
11922134,165,165,165
2043541,245,195,209.85714285714286
2043529,215,165,200.28169014084506
9750460,325,250,292.85714285714283
2043261,145,135,137.82258064516128
815639,250,125,162.69230769230768
6089865,250,125,146.4527027027027
2633478,212,212,212
7450348,NULL,NULL,NULL
9841140,425,225,404.5408163265306
13298108,180,180,180
4924910,165,150,164.10377358490567
13642397,NULL,NULL,NULL
14624254,274,250,256.1
4580825,279,249,273
10836881,80,80,80
9610609,230,153,179.28994082840237
3006311,NULL,NULL,NULL
13414367,150,150,150
8036024,299,160,204.42028985507247
24240,250,250,250
12425501,1500,200,321.0817610062893
6939759,NULL,NULL,NULL
3129309,250,125,164.09677419354838
4350995,250,250,250
6971836,NULL,NULL,NULL
1220971,225,139,189.1958041958042
3664031,335,335,335
14215317,1500,240,262.9913294797688
4089940,249,249,249
1615033,245,135,141.79365079365078
11624428,NULL,NULL,NULL
9331460,NULL,NULL,NULL
9117009,120,120,120
14572511,222,160,212.5
220676,220,69,128.57429718875503
891661,145,125,130.59241706161137
14780436,225,225,225
5511911,NULL,NULL,NULL
7036112,NULL,NULL,NULL
14424224,200,200,200
14429876,65,60,60.07017543859649
7018497,NULL,NULL,NULL
14538087,1316,179,370.3187134502924
6134145,1437,175,456.82264150943394
8556025,220,169,214.62783171521036
5755910,399,180,188.11111111111111
9425902,NULL,NULL,NULL
12407753,NULL,NULL,NULL
1758953,275,200,208.74183006535947
1094599,530,239,266.413698630137
14589695,425,425,425
7181950,1032,180,303.2676923076923
6197950,NULL,NULL,NULL
971393,175,175,175
9344096,NULL,NULL,NULL
7984226,NULL,NULL,NULL
12784064,225,200,219.43548387096774
8458210,1379,225,400.13662790697674
2183058,223,163,191.8963210702341
4279959,179,179,179
2657905,189,129,166.55555555555554
4558443,185,165,172.56756756756758
4034018,940,150,326.8939929328622
947751,NULL,NULL,NULL
2658094,299,225,264.31724137931036
11229070,NULL,NULL,NULL
10997047,197,139,164.65846153846155
3967611,200,200,200
7080514,NULL,NULL,NULL
12585455,200,175,180.46875
4573388,269,139,220.82130584192439
9259184,1355,215,396.8806451612903
14239909,496,255,283.13375796178343
8390793,NULL,NULL,NULL
4573238,279,189,249.1060070671378
9706199,NULL,NULL,NULL
12683680,309,300,300.025787965616
8227206,395,325,329.6376811594203
4573458,259,129,213.38127090301003
369940,199,199,199
1426754,159,99,134.8
3032367,NULL,NULL,NULL
6801288,65,65,65
12306135,NULL,NULL,NULL
10175033,200,200,200
12599820,NULL,NULL,NULL
5768195,NULL,NULL,NULL
13140867,200,175,178.09278350515464
11223924,1058,185,313.7805642633229
2376518,245,235,237.85256410256412
14483758,1047,140,306.5184049079755
13074722,NULL,NULL,NULL
4653267,NULL,NULL,NULL
7454907,NULL,NULL,NULL
13258244,35,35,35
7273513,139,139,139
12494334,157,100,141.88186813186815
8014642,NULL,NULL,NULL
13653233,359,249,275
8238404,255,99,156.11764705882354
7293671,90,90,90
2473997,111,68,84.01162790697674
14300751,55,22,31.104938271604937
14300921,41,29,38.69512195121951
2260547,100,100,100
5506,275,145,147.2674418604651
2636365,108,108,108
1884045,65,65,65
5717690,1126,90,258.7396449704142
10190260,80,60,74.0952380952381
6765855,NULL,NULL,NULL
1342370,1654,120,384.0287539936102
349347,1078,90,248.1862464183381
8469464,59,59,59
801722,450,133,169.2810650887574
2260501,100,100,100
801680,375,195,198.3230769230769
1175376,1654,120,382.67559523809524
6093430,NULL,NULL,NULL
14756269,236,156,201.10714285714286
12351909,129,109,115.44927536231884
1374466,85,85,85
1374434,75,75,75
14742564,75,75,75
12368082,65,51,58.935483870967744
276450,1126,90,264.1707317073171
3602379,259,149,163.01215805471125
14907062,207,146,189.40509915014164
8402408,106,90,96.03928571428571
6780313,65,65,65
8238311,254,85,168.20454545454547
13513696,NULL,NULL,NULL
4568116,135,90,108.5
11300899,125,100,107.02247191011236
6780300,65,65,65
14668441,NULL,NULL,NULL
14813006,630,190,584.0652818991098
8172380,254,87,170.56716417910448
13054720,135,135,135
11907764,99,79,93.95151515151515
8319253,100,100,100
60029,75,75,75
1403408,90,90,90
9614024,NULL,NULL,NULL
14414473,150,125,146.9387755102041
12627225,75,60,64.28571428571429
8153848,255,87,148.02266288951841
4205641,118,100,108.41614906832298
